1	O show	conta com	as participações especiais dos  cantores	1
2	Esse asteróide	foi descoberto em	24 de Maio de 1931 por Cyril_Jackson	1
3	A Bélgica	participou no	Festival_Eurovisão da  Canção em 1983	1
4	O Association_Sportive	d'Origine  Arménienne_de_Valence  foi  um  clube  de	futebol francês	0
4	Arménienne_de_Valence foi um clube de futebol francês	d'Origine	O Association_Sportive	0
5	as cavernas	protegiam os nossos antepassados das	intempérides	1
6	Hirsch	é um asteróide da	cintura principal	1
6	um asteróide da  cintura principal	é	Hirsch	1
7	O Webster's_Dictionary	define	um enfant	1
7	um enfant	terrible como	uma pessoa	0
7	que	é fortemente   não	ortodoxo	0
8	Luis_Alfredo_López	é	um futebolista profissional	1
8	hondurenho	atua como	atacante	1
8	um futebolista profissional	é	Luis_Alfredo_López	1
9	Joanna_Dove_Hayes	é um atleta barreirista	campeã olímpica	1
9	um atleta barreirista e campeã olímpica	é	Joanna_Dove_Hayes	1
10	O álbum	segue	a mesma linha	1
10	a mesma linha	lançada pelo	artista no  álbum	1
11	Vojnik	é um município da	Eslovênia	1
11	um município da  Eslovênia	é	Vojnik	1
12	Elta	pode transformar dependendo da	combinação dos  orbs	1
13	A autoridade científica da  espécie	é	Fairmaire	1
13	Fairmaire	tendo sido descrita no	ano de 1857	1
14	Sua menor audiência	foi alcançada em	31 de dezembro de 2004	1
15	Pierre	começou a jogar Futsal em	1985 nas  escolinhas do  clube	1
16	Richarnold	é um asteróide da	cintura principal	1
16	um asteróide da  cintura principal	é	Richarnold	1
17	O WWE_Judgment_Day	foi um evento Pay-Per-View da	WWE	1
17	um evento Pay-Per-View da  WWE	foi	O WWE_Judgment_Day	1
18	O primeiro serviço do  MD-11 nos  Estados_Unidos	ocorreu ainda em	1990	1
18	O primeiro serviço do  MD-11 nos  Estados_Unidos	foi inaugurado pela	Delta_Airlines	1
19	Este asteroide	foi descoberto no	dia 31 de agosto de 2000 por LINEAR em Socorro	1
20	Havana	é	uma cidade	1
20	uma cidade	localizada no	estado americano de Illinois	1
20	Havana	localizada no	estado americano de Illinois	1
20	uma cidade	é	Havana	1
21	A Universidade_Flinders	é	uma universidade	1
21	uma universidade	localizada na	Austrália_Meridional	1
21	uma universidade	localizada na	Austrália	1
21	A Universidade_Flinders	localizada na	Austrália_Meridional	1
21	A Universidade_Flinders	localizada na	Austrália	1
21	uma universidade	é	A Universidade_Flinders	1
22	O KS	era uma mesa com	uma matriz de chaves	1
22	uma mesa com uma matriz de chaves	era	O KS	1
23	Ahillones	é um município da	Espanha na  província de Badajoz	1
23	um município da  Espanha na  província de Badajoz	é	Ahillones	1
24	Salleri	é uma cidade do	Nepal	1
24	uma cidade do  Nepal	é	Salleri	1
25	NGC 3158	foi descoberta em	17 de Março de 1787 por William_Herschel	1
27	Horntown	é	uma cidade	1
27	uma cidade	localizada no	estado norte-americano	1
27	Horntown	localizada no	estado norte-americano	1
27	uma cidade	é	Horntown	1
28	O Afogadense	foi eliminado por ter pago as taxas de	inscrição por completo impostas pela  Federação	1
29	O Tenente_Niki	está de	serviço na  Viena do  século	1
30	Naganuma	é um asteróide da	cintura principal	1
30	um asteróide da  cintura principal	é	Naganuma	1
31	barão de Carbonnières	foi	um político	1
31	barão de Carbonnières	foi	um geólogo	1
31	barão de Carbonnières	foi	um explorador	1
31	um político	foi	barão de Carbonnières	1
31	um geólogo	foi	barão de Carbonnières	1
31	um explorador	foi	barão de Carbonnières	1
32	A Assembleia_Legislativa do  Estado de Goiás	é o órgão de	representação do  Poder_Legislativo	1
32	o órgão de representação do  Poder_Legislativo	é	A Assembleia_Legislativa do  Estado de Goiás	1
33	Exemplos	são	o já falecido pregador inglês	0
33	o	falecido	pregador inglês	0
33	Smith_Wigglesworth	ajudou em	muito no  avivamento na  Nova_Zelândia no  início do	0
33	avivamento na  Nova_Zelândia no  início do  século	passado  neo-zeolandês  líder  do	ministério Avivamento_Já	0
33	o já falecido pregador inglês	são	Exemplos	0
34	Marshall	foi expulso das	próprias terras pela  onda resultante de garimpeiros	1
34	das  próprias terras pela  onda resultante de garimpeiros e	obteve lucro com	sua descoberta	0
35	Os filhos legítimos de um par vitalício	recebem os privilégios dos	filhos dos  barões hereditários	1
35	os privilégios dos  filhos dos  barões hereditários	podendo preceder seus nomes com	o título the	0
36	Esse asteróide	foi descoberto em	17 de Novembro de 1938 por Karl_Reinmuth	1
37	Homem-Serpente	é	uma raça humanoide fictícia	1
37	uma raça humanoide fictícia	criado pelo	texano Robert	1
37	Homem-Serpente	criado pelo	texano Robert	1
37	uma raça humanoide fictícia	é	Homem-Serpente	1
38	Twin_Shadow	é o nome artístico de	músico americano	1
38	George_Lewis_Jr	nascido na	República_Dominicana em 1983	1
38	George_Lewis_Jr	cresceu no	Brooklyn em Nova_Iorque	1
38	George_Lewis_Jr	cresceu no	Brooklyn em Estados_Unidos	1
38	o nome artístico de músico americano	é	Twin_Shadow	0
39	A Serra_da_Argemela	é rica em	minerais	1
39	chegada dos  romanos	foi explorada na	sua busca	0
40	ele	matou muitos	convenceu 12 Cavaleiros	0
40	ele	convenceu 12 Cavaleiros a aliarem a	ele	1
40	eles	ficaram conhecidos como	Os_Renegados	1
